,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
721,31259,Don Zimmer,1950,437,1443,1306,298,159.0,8.0,141,42,478,103,82.0,18.0,6.0,0,0,0,70,67,281,1,0,0,1,0,25.0,10.0,zimmedo01,31259,1.807278,BRO
722,31282,Paul Zuvella,1980,207,545,491,109,20.0,0.0,41,2,136,34,33.0,1.0,2.0,0,0,0,55,11,133,0,0,0,0,3,2.0,0.0,zuvelpa01,31282,-0.8395546300000001,ATL
723,31369,J.J. Hardy,2000,571,2298,2075,543,265.0,11.0,279,75,888,189,178.0,11.0,5.0,0,0,0,0,0,557,0,0,0,0,0,5.0,6.0,hardyjj01,31369,9.324489,MIL
724,31369,J.J. Hardy,2010,990,4011,3730,945,423.0,27.0,439,113,1483,222,209.0,13.0,10.0,0,0,0,0,0,987,0,0,0,0,0,3.0,3.0,hardyjj01,31369,16.291335999999998,BAL
725,31407,Brendan Harris,2000,442,1639,1479,395,154.0,13.0,183,28,585,117,116.0,1.0,14.0,0,0,5,117,93,203,0,0,0,0,11,5.0,4.0,harribr01,31407,1.6420071,MIN
726,31495,Josh Wilson,2000,188,532,484,110,37.0,3.0,49,5,160,29,28.0,1.0,10.0,3,0,0,35,14,118,0,0,0,0,0,7.0,4.0,wilsojo03,31495,-0.34526799999999996,ARI
727,31495,Josh Wilson,2010,243,658,611,141,47.0,1.0,55,5,189,25,25.0,0.0,15.0,1,0,4,59,35,116,3,0,0,3,1,7.0,0.0,wilsojo03,31495,1.6100922,ARI
728,31511,Jose Reyes,2000,791,3651,3353,960,325.0,12.0,551,63,1457,259,231.0,28.0,5.0,0,0,0,43,0,742,0,0,0,0,0,301.0,75.0,reyesjo01,31511,16.7095296,NYM
729,31511,Jose Reyes,2010,1086,4589,4199,1178,394.0,26.0,629,82,1765,330,302.0,28.0,6.0,1,0,0,41,114,885,1,1,0,2,0,216.0,52.0,reyesjo01,31511,19.228137,NYM
730,31525,Khalil Greene,2000,736,2835,2567,628,352.0,37.0,322,90,1083,190,172.0,18.0,35.0,0,0,0,0,16,678,0,0,0,0,0,25.0,6.0,greenkh01,31525,10.227818899999999,SDP
731,31573,Ray Olmedo,2000,198,442,403,92,26.0,1.0,45,2,118,26,26.0,0.0,1.0,0,0,0,54,5,91,0,0,1,1,0,6.0,1.0,olmedra01,31573,-1.2933271000000002,CIN
732,31614,Bobby Crosby,2000,677,2657,2391,568,263.0,15.0,320,61,903,224,222.0,2.0,15.0,0,0,54,5,42,582,0,0,1,1,4,34.0,10.0,crosbbo01,31614,7.8051691,OAK
733,31626,Russ Adams,2000,286,993,884,218,113.0,11.0,125,17,329,85,83.0,2.0,5.0,0,0,0,52,16,189,5,0,0,5,4,15.0,5.0,adamsru01,31626,0.038698299999999984,TOR
734,31724,Hanley Ramirez,2000,618,2753,2439,771,313.0,15.0,470,103,1294,261,235.0,26.0,28.0,0,0,0,0,0,603,0,0,0,0,2,164.0,49.0,ramirha01,31724,20.56143249,FLA
735,31724,Hanley Ramirez,2010,1050,4374,3910,1063,604.0,21.0,579,168,1792,399,360.0,39.0,43.0,0,0,176,0,99,474,92,0,0,92,176,117.0,44.0,ramirha01,31724,13.337874500000002,BOS
736,32318,Erick Aybar,2000,348,1182,1084,309,118.0,8.0,146,9,415,54,53.0,1.0,12.0,0,0,0,48,1,271,6,0,2,8,4,26.0,13.0,aybarer01,32318,3.3779816,LAA
737,32318,Erick Aybar,2010,1106,4445,4091,1093,355.0,31.0,497,49,1509,231,214.0,17.0,40.0,2,0,0,7,12,1066,0,0,0,0,2,129.0,49.0,aybarer01,32318,9.867748,LAA
738,32450,Clint Barmes,2000,532,2077,1904,491,235.0,17.0,249,53,790,90,80.0,10.0,30.0,0,0,0,218,14,286,0,5,1,6,0,36.0,23.0,barmecl01,32450,5.667099299999999,COL
739,32450,Clint Barmes,2010,654,2090,1901,441,180.0,9.0,185,36,651,126,104.0,22.0,30.0,0,0,4,102,3,533,0,0,0,0,0,7.0,7.0,barmecl01,32450,5.489503,PIT
740,32500,Jason Bartlett,2000,586,2269,2033,583,195.0,16.0,292,25,800,170,163.0,7.0,37.0,0,0,0,1,0,569,0,0,0,0,8,89.0,21.0,bartlja01,32500,15.0623651,MIN
741,32500,Jason Bartlett,2010,306,1252,1108,266,91.0,10.0,143,6,350,105,104.0,1.0,11.0,0,0,0,0,0,296,2,0,0,2,2,34.0,16.0,bartlja01,32500,3.61831607,SDP
742,33214,Eric Bruntlett,2000,512,895,789,182,72.0,7.0,115,11,260,76,71.0,5.0,9.0,0,0,5,83,48,181,56,27,19,102,0,31.0,8.0,brunter01,33214,1.7642930000000001,HOU
743,33713,Ronny Cedeno,2000,434,1353,1245,299,126.0,4.0,138,23,431,62,52.0,10.0,9.0,0,0,0,80,13,287,8,1,0,9,0,20.0,12.0,cedenro02,33713,-0.03191974499999997,CHC
744,33713,Ronny Cedeno,2010,441,1439,1320,330,113.0,8.0,127,17,474,84,72.0,12.0,6.0,0,0,1,29,5,366,0,0,0,0,7,19.0,13.0,cedenro02,33713,1.10429279,PIT
745,34706,Aledmys Diaz,2010,389,1460,1322,363,180.0,17.0,193,51,607,103,93.0,10.0,15.0,0,0,26,27,61,274,7,0,0,7,2,13.0,9.0,diazal02,34706,4.678702,STL
746,35246,Brandon Fahey,2000,189,455,411,92,36.0,1.0,54,2,126,28,28.0,0.0,4.0,0,0,0,32,3,81,60,0,1,61,0,5.0,4.0,faheybr01,35246,-0.026669999999999968,BAL
747,37596,Elliot Johnson,2010,311,807,730,158,69.0,4.0,80,12,234,54,53.0,1.0,3.0,0,0,2,98,15,162,12,1,6,19,3,46.0,15.0,johnsel02,37596,-0.7337628999999999,TBR
748,37894,Jeff Keppinger,2000,350,1312,1181,329,121.0,9.0,139,20,460,92,85.0,7.0,9.0,0,0,8,61,102,166,4,0,1,5,1,7.0,5.0,keppije01,37894,2.1520720000000004,CIN
749,40946,Tony Pena,2000,327,870,829,189,66.0,7.0,95,4,249,20,17.0,3.0,4.0,1,0,0,1,1,306,0,0,0,0,1,8.0,7.0,penato02,40946,-0.28518879999999996,KCR
750,40963,Jhonny Peralta,2000,832,3456,3101,824,413.0,27.0,440,96,1318,297,290.0,7.0,20.0,0,0,0,0,113,706,0,0,0,0,15,8.0,14.0,peraljh01,40963,13.4959019,CLE
751,40963,Jhonny Peralta,2010,966,3863,3498,937,460.0,36.0,401,106,1473,309,292.0,17.0,18.0,0,0,3,0,182,753,3,0,0,3,9,9.0,13.0,peraljh01,40963,18.32045,DET
752,41848,Oscar Robles,2000,163,471,423,110,36.0,1.0,50,5,147,38,37.0,1.0,2.0,0,0,0,22,50,54,0,0,0,0,0,0.0,8.0,robleos01,41848,0.9790996999999999,LAD
753,43648,Ryan Theriot,2000,513,2108,1866,538,153.0,9.0,283,14,689,191,188.0,3.0,11.0,0,0,0,79,9,410,4,0,2,6,0,84.0,29.0,theriry01,43648,5.9443480000000015,CHC
754,44075,Wilson Valdez,2010,287,871,800,194,80.0,3.0,91,5,257,47,37.0,10.0,2.0,1,0,0,109,45,117,0,5,0,5,0,13.0,4.0,valdewi01,44075,-1.4904346000000002,PHI
755,45386,Mike Aviles,2000,138,568,539,158,59.0,3.0,78,11,231,22,18.0,4.0,2.0,0,0,0,28,9,125,0,0,0,0,0,9.0,3.0,avilemi01,45386,3.3727410000000004,KCR
756,45386,Mike Aviles,2010,777,2666,2470,628,247.0,27.0,302,49,900,119,117.0,2.0,14.0,0,0,2,188,187,260,74,9,42,125,9,69.0,28.0,avilemi01,45386,4.835548999999999,CLE
757,45395,Reid Brignac,2010,334,847,786,169,78.0,2.0,72,11,234,47,41.0,6.0,4.0,0,0,0,79,39,175,2,0,2,4,0,7.0,5.0,brignre01,45395,1.1663361000000003,TBR
758,45398,Asdrubal Cabrera,2010,1370,5651,5099,1349,659.0,42.0,670,165,2182,427,405.0,22.0,58.0,0,0,3,203,164,951,0,0,0,0,24,69.0,24.0,cabreas01,45398,19.101464,CLE
759,45469,Omar Quintanilla,2010,186,603,535,118,42.0,4.0,58,6,160,56,48.0,8.0,3.0,0,0,0,41,4,136,0,0,0,0,0,2.0,1.0,quintom01,45469,0.32556820000000003,NYM
760,45472,Brendan Ryan,2000,276,846,767,214,59.0,3.0,115,7,286,55,52.0,3.0,9.0,0,0,0,59,29,173,1,0,3,4,0,28.0,9.0,ryanbr01,45472,5.340477,STL
761,45472,Brendan Ryan,2010,620,2040,1824,390,144.0,17.0,189,12,527,143,137.0,6.0,23.0,1,0,8,45,16,548,1,0,2,3,1,39.0,16.0,ryanbr01,45472,6.120614700000001,NYY
762,45495,Ben Zobrist,2000,297,1129,979,255,148.0,11.0,141,42,449,129,123.0,6.0,5.0,0,0,3,99,2,130,23,12,61,96,3,24.0,9.0,zobribe01,45495,6.222793299999998,TBD
763,45606,Stephen Drew,2000,496,2103,1896,512,215.0,23.0,249,50,844,164,142.0,22.0,5.0,0,0,0,0,0,486,0,0,0,0,1,19.0,4.0,drewst01,45606,6.507482,ARI
764,45606,Stephen Drew,2010,772,2814,2507,597,309.0,21.0,316,73,1018,271,260.0,11.0,8.0,0,0,0,180,27,521,0,0,0,0,2,22.0,15.0,drewst01,45606,7.893777599999999,ARI
765,45619,Yuniesky Betancourt,2000,659,2469,2334,641,229.0,19.0,270,31,911,81,78.0,3.0,6.0,0,0,0,9,0,648,0,0,0,0,0,24.0,22.0,betanyu01,45619,0.97403,SEA
766,45619,Yuniesky Betancourt,2010,497,1809,1718,416,228.0,20.0,167,49,662,62,55.0,7.0,4.0,0,0,68,51,67,304,2,0,0,2,1,6.0,8.0,betanyu01,45619,3.2183200000000003,KCR
767,45945,Ian Desmond,2010,1457,5855,5360,1409,699.0,38.0,715,177,2280,382,369.0,13.0,43.0,1,0,165,0,0,900,157,207,1,365,4,180.0,56.0,desmoia01,45945,12.826434,WSN
768,46184,Paul Janish,2010,345,924,836,180,65.0,8.0,82,5,235,64,61.0,3.0,9.0,0,0,0,22,64,259,0,0,0,0,0,5.0,5.0,janispa01,46184,2.0663941,BAL
769,46262,Jed Lowrie,2010,1005,4118,3663,966,452.0,30.0,482,100,1526,398,380.0,18.0,21.0,0,0,11,407,96,433,0,0,0,0,44,6.0,3.0,lowrije01,46262,18.43524251,OAK
770,46724,Troy Tulowitzki,2000,432,1839,1625,460,243.0,13.0,268,65,771,178,163.0,15.0,15.0,0,0,0,0,0,432,0,0,0,0,0,31.0,23.0,tulowtr01,46724,13.902349999999998,COL
771,46724,Troy Tulowitzki,2010,859,3576,3179,931,537.0,30.0,494,160,1607,333,300.0,33.0,32.0,0,0,0,0,0,836,0,0,0,0,4,26.0,9.0,tulowtr01,46724,26.6881749,COL
772,46980,Elvis Andrus,2000,145,541,480,128,40.0,3.0,72,6,179,40,40.0,0.0,6.0,0,0,0,0,0,145,0,0,0,0,0,33.0,6.0,andruel01,46980,2.60664,TEX
773,46980,Elvis Andrus,2010,1478,6427,5783,1595,589.0,49.0,810,67,2157,468,463.0,5.0,38.0,0,0,0,0,0,1454,0,0,0,0,21,269.0,98.0,andruel01,46980,29.024700000000006,TEX
774,47625,Alcides Escobar,2010,1390,5564,5178,1327,431.0,32.0,583,40,1774,227,210.0,17.0,44.0,0,0,0,3,29,1347,2,7,2,11,0,170.0,42.0,escobal02,47625,9.81063,KCR
775,47675,Alberto Gonzalez,2000,162,443,406,104,44.0,6.0,47,2,140,23,22.0,1.0,4.0,0,0,0,59,18,78,0,0,0,0,0,1.0,3.0,gonzaal03,47675,-0.1562318,NYY
