,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
143,18164,Franklin Stubbs,1980,542,1535,1377,313,178.0,10.0,166,59,552,131,103.0,28.0,4.0,0,0,270,0,0,0,156,32,43,231,0,31.0,9.0,stubbfr01,18164,2.2124580000000003,LAD
144,18164,Franklin Stubbs,1990,403,1364,1214,289,170.0,9.0,157,45,495,129,119.0,10.0,6.0,0,0,252,0,0,0,91,0,6,97,22,43.0,19.0,stubbfr01,18164,2.837653,MIL
145,18196,Randy Milligan,1980,167,549,448,116,53.0,2.0,66,15,199,95,93.0,2.0,4.0,0,0,142,0,0,0,1,0,0,1,0,10.0,7.0,millira01,18196,1.7248766699999996,BAL
146,18196,Randy Milligan,1990,536,2045,1670,437,231.0,14.0,239,55,690,352,344.0,8.0,9.0,0,0,445,0,0,0,18,0,0,18,41,6.0,11.0,millira01,18196,8.95017,BAL
147,18202,Gary Redus,1990,365,1034,910,236,92.0,12.0,133,22,373,105,101.0,4.0,5.0,0,0,165,1,0,0,22,34,75,131,1,43.0,16.0,redusga01,18202,2.24595339,PIT
148,18265,Jim Traber,1980,264,897,819,186,117.0,12.0,70,27,288,58,52.0,6.0,6.0,0,0,155,0,0,0,9,0,9,18,66,5.0,5.0,trabeji01,18265,0.968142,BAL
149,18279,Tommie Aaron,1960,368,923,828,191,84.0,6.0,95,11,274,80,78.0,2.0,0.0,0,0,205,7,3,0,126,1,0,127,0,9.0,8.0,aaronto01,18279,0.7783910000000002,MLN
150,18301,Bill Abstein,1900,145,591,532,137,73.0,0.0,53,1,180,27,0.0,0.0,4.0,0,0,135,3,0,0,0,0,2,2,0,18.0,0.0,abstebi01,18301,0.6000000000000001,PIT
151,18336,Joe Adcock,1950,1128,4274,3910,1106,637.0,19.0,513,181,1899,293,117.0,19.0,12.0,0,0,754,0,0,0,310,0,0,310,0,9.0,14.0,adcocjo01,18336,15.919577999999998,MLN
152,18336,Joe Adcock,1960,831,3030,2696,726,485.0,16.0,310,155,1306,301,265.0,36.0,5.0,0,0,747,0,0,0,0,0,0,0,0,11.0,11.0,adcocjo01,18336,10.675016000000001,MLN
153,18349,Harry Agganis,1950,157,587,517,135,67.0,6.0,65,11,209,57,10.0,0.0,0.0,0,0,139,0,0,0,0,0,0,0,0,8.0,3.0,agganha01,18349,0.851058,BOS
154,18350,Joe Agler,1910,234,904,751,185,36.0,0.0,121,0,227,131,0.0,0.0,1.0,0,0,136,3,0,0,52,9,18,79,0,38.0,0.0,aglerjo01,18350,-0.19999999999999996,BUF
155,18355,Willie Aikens,1970,158,548,470,124,87.0,6.0,64,21,209,71,61.0,10.0,1.0,0,0,68,0,0,0,0,0,0,0,64,2.0,5.0,aikenwi01,18355,1.983375,CAL
156,18355,Willie Aikens,1980,616,2308,2022,551,328.0,21.0,237,89,925,248,216.0,32.0,17.0,0,0,479,0,0,0,0,0,0,0,111,1.0,1.0,aikenwi01,18355,5.0056859000000005,KCR
157,18382,Dale Alexander,1920,155,700,626,215,137.0,0.0,110,25,363,56,0.0,0.0,0.0,0,0,155,0,0,0,0,0,0,0,0,5.0,9.0,alexada01,18382,5.1,DET
158,18382,Dale Alexander,1930,507,2036,1824,596,322.0,0.0,259,36,855,192,0.0,0.0,6.0,0,0,462,0,0,0,4,0,0,4,0,15.0,19.0,alexada01,18382,10.5,DET
159,18397,Dick Allen,1970,883,3624,3111,882,575.0,28.0,508,174,1595,472,409.0,63.0,9.0,0,0,690,3,107,0,63,0,0,63,2,69.0,25.0,allendi01,18397,25.7060689,CHW
160,18517,Cap Anson,1880,1089,4804,4408,1518,967.0,0.0,893,67,2162,389,0.0,0.0,7.0,3,21,1084,1,9,3,0,0,1,1,0,111.0,0.0,ansonca01,18517,52.199999999999996,CHC
161,18517,Cap Anson,1890,952,4231,3644,1137,748.0,0.0,619,28,1473,528,0.0,0.0,25.0,0,26,924,3,0,0,0,0,0,0,0,136.0,0.0,ansonca01,18517,23.1,CHC
162,18541,Hank Arft,1950,225,755,653,169,78.0,0.0,90,8,248,92,0.0,0.0,2.0,0,0,191,0,0,0,0,0,0,0,0,7.0,8.0,arftha01,18541,0.9336256000000002,SLB
163,18601,Doug Ault,1970,192,639,569,140,71.0,3.0,54,14,214,57,51.0,6.0,5.0,0,0,151,0,0,0,6,0,1,7,12,4.0,4.0,aultdo01,18601,1.1895061999999998,TOR
164,18690,Phil Baker,1880,195,856,817,212,34.0,0.0,134,3,263,39,0.0,0.0,0.0,0,50,95,0,0,1,2,40,26,68,0,16.0,0.0,bakerph01,18690,2.2,WHS
165,18732,Ernie Banks,1960,1495,6102,5554,1460,925.0,61.0,694,269,2590,410,283.0,127.0,46.0,0,0,1177,0,11,260,23,0,0,23,0,15.0,19.0,bankser01,18732,22.116433999999998,CHC
166,18927,Jim Beauchamp,1970,260,473,427,104,59.0,10.0,50,9,151,34,31.0,3.0,2.0,0,0,95,0,0,0,21,9,2,32,0,6.0,2.0,beaucji01,18927,0.036546080000000015,NYM
167,18937,Fred Beck,1910,539,1964,1796,470,224.0,0.0,171,31,678,105,0.0,0.0,23.0,0,0,299,0,0,0,17,131,64,212,0,26.0,0.0,beckfr02,18937,1.8000000000000003,CHI
168,18949,Jake Beckley,1880,194,849,805,254,124.0,0.0,126,9,346,36,0.0,0.0,8.0,0,0,193,0,0,0,0,0,1,1,0,31.0,0.0,becklja01,18949,6.5,PIT
169,18949,Jake Beckley,1890,1270,5676,5105,1558,956.0,0.0,978,64,2341,357,0.0,0.0,138.0,0,0,1266,1,0,0,2,3,0,5,0,187.0,0.0,becklja01,18949,34.9,PIT
170,18949,Jake Beckley,1900,925,3979,3628,1122,498.0,0.0,498,14,1469,223,0.0,0.0,37.0,1,0,921,0,0,0,0,0,0,0,0,97.0,0.0,becklja01,18949,20.6,CIN
171,18953,Julio Becquer,1950,309,619,584,143,61.0,3.0,45,3,187,26,19.0,7.0,2.0,0,0,140,0,0,0,1,0,0,1,0,7.0,7.0,becquju01,18953,-0.439025,WSH
172,18978,Wayne Belardi,1950,263,680,592,143,74.0,4.0,71,28,250,66,14.0,1.0,14.0,0,0,149,0,0,0,2,0,1,3,0,1.0,0.0,belarwa01,18978,1.11295848,BRO
173,19005,Chief Bender,1900,261,699,633,139,59.0,0.0,59,3,186,40,0.0,0.0,6.0,221,0,6,1,0,0,1,4,0,5,0,15.0,0.0,bendech01,19005,3.3000000000000003,PHA
174,19026,Jack Bentley,1920,248,571,539,159,67.0,0.0,51,7,224,21,0.0,0.0,0.0,99,0,59,0,0,0,0,0,3,3,0,0.0,0.0,bentlja01,19026,1.5000000000000002,NYG
175,19052,Dave Bergman,1980,947,2171,1877,495,209.0,18.0,231,43,722,251,230.0,21.0,7.0,0,0,663,0,0,0,48,0,11,59,57,12.0,11.0,bergmda01,19052,3.9430712999999997,DET
176,19052,Dave Bergman,1990,273,676,580,145,65.0,6.0,61,10,202,88,82.0,6.0,0.0,0,0,131,0,0,0,10,0,0,10,75,5.0,3.0,bergmda01,19052,-0.034857,DET
177,19101,Kurt Bevacqua,1980,381,747,638,151,102.0,11.0,63,7,207,90,79.0,11.0,2.0,0,0,89,6,80,0,17,0,6,23,0,3.0,4.0,bevacku01,19101,0.7486228000000001,SDP
178,19124,Larry Biittner,1980,332,700,634,170,84.0,12.0,45,3,219,48,38.0,10.0,4.0,0,0,86,0,0,0,46,0,28,74,9,2.0,3.0,biittla01,19124,0.010676000000000059,CIN
179,19128,Steve Bilko,1950,338,1168,1041,252,152.0,4.0,122,39,434,119,18.0,0.0,1.0,0,0,276,0,0,0,0,0,0,0,0,0.0,1.0,bilkost01,19128,2.3029207300000003,STL
180,19128,Steve Bilko,1960,256,802,680,175,122.0,10.0,95,37,330,110,108.0,2.0,2.0,0,0,198,0,0,0,0,0,3,3,0,2.0,3.0,bilkost01,19128,2.755851,LAA
181,19157,Del Bissonette,1920,271,1153,1018,309,181.0,0.0,158,37,524,116,0.0,0.0,5.0,0,0,268,0,0,0,0,0,0,0,0,7.0,0.0,bissode01,19157,5.0,BRO
182,19157,Del Bissonette,1930,333,1411,1273,390,210.0,0.0,201,29,590,117,0.0,0.0,1.0,0,0,330,0,0,0,0,0,0,0,0,10.0,0.0,bissode01,19157,3.6,BRO
183,19221,Marv Blaylock,1950,287,852,746,175,78.0,8.0,96,15,271,84,80.0,4.0,6.0,0,0,213,0,0,0,4,0,5,9,0,11.0,2.0,blaylma01,19221,0.737508948,PHI
