,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
402,18737,Floyd Bannister,1980,2641,112,109,0,1890.6663,929,836,7994,7241.0,1813,234,2958.0,616,593,23,28.0,1356,18737,bannifl01,22.426523,CHW
403,18746,Steve Barber,1960,2646,111,96,4,1726.9993,734,627,7398,6387.0,1541,106,2157.0,834,795,39,34.0,1144,18746,barbest01,10.797992,BAL
404,18746,Steve Barber,1970,2647,10,10,9,272.0001,136,120,1188,1034.0,277,19,382.0,116,96,20,8.0,165,18746,barbest01,0.3182399000000001,ATL
405,18881,Frank Baumann,1950,2729,13,8,1,218.6667,118,105,985,849.0,225,21,348.0,116,111,5,7.0,131,18881,baumafr01,-0.5777872999999999,BOS
406,18881,Frank Baumann,1960,2730,32,30,12,578.6669999999999,288,259,2484,2252.0,631,49,927.0,184,157,27,5.0,253,18881,baumafr01,1.9493828,CHW
407,18885,Ross Baumgarten,1970,2732,15,10,0,213.667,97,90,924,812.0,204,21,303.0,92,91,1,2.0,87,18885,baumgro01,-0.417109,CHW
408,18885,Ross Baumgarten,1980,2733,7,26,0,281.6670000000001,149,130,1209,1058.0,288,22,420.0,119,115,4,2.0,135,18885,baumgro01,0.6068100000000001,CHW
409,18888,Stan Baumgartner,1920,2736,24,17,7,392.9997,218,172,1752,0.0,450,18,0.0,145,145,0,13.0,78,18888,baumgst01,5.7,PHA
410,18898,Bill Bayne,1920,2740,30,31,8,646.0004,399,347,2864,0.0,690,36,0.0,290,290,0,50.0,258,18898,baynebi01,3.8000000000000007,SLB
411,18917,Gene Bearden,1940,2750,28,15,1,357.0003000000001,152,137,1532,0.0,329,15,0.0,199,199,0,5.0,121,18917,beardge01,3.2,CLE
412,18917,Gene Bearden,1950,2751,17,23,0,431.3343,246,210,1893,405.0,462,33,172.0,236,236,0,4.0,138,18917,beardge01,-0.742707,WSH
413,18923,Ed Beatin,1880,2757,26,23,0,442.667,250,168,534,0.0,440,20,0.0,165,165,0,9.0,176,18923,beatied01,6.1000000000000005,DTN
414,18923,Ed Beatin,1890,2758,22,33,0,503.333,344,219,0,0.0,557,12,0.0,207,207,0,21.0,159,18923,beatied01,2.4000000000000004,CLV
415,18981,Bo Belinsky,1960,2797,28,51,2,657.3326999999998,346,299,2826,2422.0,593,61,905.0,327,309,18,42.0,470,18981,belinbo01,5.1246971000000014,LAA
416,19017,Dennis Bennett,1960,2817,43,47,6,863.0003,389,354,3661,3270.0,850,98,1342.0,281,254,27,29.0,572,19017,bennede01,3.6294650000000006,BOS
417,19026,Jack Bentley,1910,2821,6,9,5,148.99960000000004,53,34,579,0.0,123,3,0.0,59,59,0,3.0,61,19026,bentlja01,2.6,WSH
418,19026,Jack Bentley,1920,2822,40,24,4,565.0,312,284,2469,0.0,638,34,0.0,204,204,0,11.0,198,19026,bentlja01,1.5999999999999996,NYG
419,19031,Rube Benton,1910,2828,106,97,16,1723.6666999999998,741,570,7164,0.0,1587,27,0.0,549,549,0,82.0,750,19031,bentoru01,12.100000000000001,CIN
420,19031,Rube Benton,1920,2829,44,47,5,793.6669999999999,374,293,3375,0.0,885,25,0.0,163,163,0,13.0,200,19031,bentoru01,6.5,CIN
421,19079,Frank Bertaina,1960,2848,18,27,0,381.666,192,165,1676,1432.0,363,41,554.0,199,194,5,10.0,266,19079,bertafr01,-1.3256591999999994,BAL
422,19142,Ralph Birkofer,1930,2887,31,28,2,543.9993999999998,316,253,2420,0.0,618,24,0.0,175,175,0,17.0,224,19142,birkora01,2.7,PIT
423,19145,Tim Birtsas,1980,2889,13,11,1,277.333,144,127,1213,1033.0,255,30,414.0,146,132,14,9.0,190,19145,birtsti01,1.5579468499999998,CIN
424,19146,Frank Biscan,1940,2891,7,9,4,148.3334,99,87,710,0.0,170,4,0.0,104,104,0,9.0,64,19146,biscafr01,0.20000000000000007,SLB
425,19213,Wade Blasingame,1960,2936,34,36,5,602.3337,345,307,2469,2147.0,620,54,851.0,285,260,25,12.0,348,19213,blasiwa01,-4.9020250999999995,HOU
426,19213,Wade Blasingame,1970,2937,12,15,0,261.333,141,127,1128,995.0,271,21,398.0,87,80,7,18.0,164,19213,blasiwa01,1.9648990000000002,HOU
427,19242,Vida Blue,1970,2951,155,109,1,2398.6667,927,819,9828,8855.0,2080,161,2983.0,780,738,42,19.0,1600,19242,bluevi01,46.797438,OAK
428,19242,Vida Blue,1980,2952,53,51,0,902.6673,396,363,3819,3352.0,810,89,1283.0,387,369,18,4.0,551,19242,bluevi01,9.012187400000002,SFG
429,19265,Joe Boehling,1910,2966,56,49,4,912.3323,379,298,3723,0.0,845,13,0.0,376,376,0,37.0,392,19265,boehljo01,9.6,WSH
430,19403,Ted Bowsfield,1960,3059,33,36,6,587.6667,322,277,2554,2274.0,625,58,928.0,214,201,13,11.0,284,19403,bowsfte01,-3.805485,KCA
431,19472,Ed Brandt,1920,3108,17,34,0,393.0,252,230,1762,0.0,430,34,0.0,192,192,0,12.0,134,19472,branded01,0.7,BSN
432,19472,Ed Brandt,1930,3109,104,112,17,1875.3333,832,744,7959,0.0,1912,100,0.0,586,586,0,23.0,743,19472,branded01,26.900000000000002,BSN
433,19488,Garland Braxton,1920,3113,43,37,25,746.3326,361,289,3153,0.0,756,23,0.0,193,193,0,16.0,321,19488,braxtga01,11.500000000000002,WSH
434,19488,Garland Braxton,1930,3114,7,16,7,191.6666,168,141,908,0.0,258,15,0.0,83,83,0,5.0,91,19488,braxtga01,-1.2999999999999998,CHW
435,19491,Al Brazle,1940,3115,57,34,5,771.9989999999998,314,263,3258,0.0,791,34,0.0,243,243,0,10.0,299,19491,brazlal01,13.3,STL
436,19491,Al Brazle,1950,3116,40,30,55,604.6663,275,243,2510,565.0,596,49,235.0,249,249,0,15.0,255,19491,brazlal01,-0.4901329999999999,STL
437,19494,Harry Brecheen,1940,3118,105,59,12,1387.9983,480,422,5662,0.0,1242,68,0.0,378,378,0,27.0,666,19494,brechha01,32.3,STL
438,19494,Harry Brecheen,1950,3119,28,33,6,519.6659999999999,221,196,2057,531.0,489,48,202.0,158,158,0,10.0,235,19494,brechha01,5.6775920000000015,STL
439,19501,Ted Breitenstein,1890,3123,150,157,3,2766.0007,1711,1242,0,0.0,2872,74,0.0,1114,1114,0,73.0,851,19501,breitte01,50.9,STL
440,19501,Ted Breitenstein,1900,3124,10,13,0,207.333,137,89,0,0.0,229,5,0.0,93,93,0,14.0,42,19501,breitte01,0.8,CIN
441,19505,Ad Brennan,1910,3125,37,36,3,677.0,316,234,2831,0.0,694,22,0.0,194,194,0,23.0,283,19505,brennad01,4.599999999999999,PHI
442,19514,Rube Bressler,1910,3135,24,32,2,519.6667,259,200,2149,0.0,487,8,0.0,240,240,0,14.0,225,19514,bressru01,0.8,CIN
443,19518,Ken Brett,1970,3139,80,81,8,1439.3337,693,627,6093,5474.0,1403,119,2078.0,521,464,57,18.0,771,19518,brettke01,6.012884099999999,BOS
444,19521,Jim Brewer,1960,3144,31,33,40,593.0004,256,229,2474,2204.0,547,55,816.0,214,175,39,7.0,443,19521,breweji01,7.445167789999998,LAD
445,19521,Jim Brewer,1970,3145,38,32,92,447.3333,145,126,1818,1603.0,351,37,517.0,146,108,38,3.0,367,19521,breweji01,8.579978,LAD
446,19532,Marshall Bridges,1950,3150,6,3,1,76.0,38,36,328,279.0,67,10,116.0,37,29,8,0.0,76,19532,bridgma01,1.21083,STL
447,19532,Marshall Bridges,1960,3151,17,12,24,269.3333,133,108,1195,1013.0,248,19,364.0,154,139,15,3.0,226,19532,bridgma01,1.588267,CIN
448,19546,Jim Brillheart,1920,3161,8,9,1,266.334,140,121,1181,0.0,287,8,0.0,122,122,0,13.0,91,19546,brillji01,1.7000000000000002,WSH
449,19552,Lou Brissie,1940,3163,30,22,8,430.333,218,203,1901,0.0,431,27,0.0,218,218,0,7.0,249,19552,brisslo01,3.4,PHA
450,19552,Lou Brissie,1950,3164,14,26,21,467.3327,233,203,1773,695.0,436,34,287.0,233,233,0,7.0,187,19552,brisslo01,2.415209,CLE
451,19631,Lloyd Brown,1920,3219,12,14,1,338.3333,193,155,1473,0.0,377,15,0.0,134,134,0,5.0,109,19631,brownll01,2.5999999999999996,WSH
452,19631,Lloyd Brown,1930,3220,78,88,17,1317.0,718,609,5719,0.0,1464,63,0.0,440,440,0,17.0,385,19631,brownll01,17.6,CLE
453,19677,George Brunet,1960,3254,60,84,4,1262.667,540,487,5309,4694.0,1115,114,1707.0,495,448,47,18.0,818,19677,brunege01,7.76068559,CAL
454,19677,George Brunet,1970,3255,9,8,0,144.0003,75,69,630,550.0,155,14,227.0,64,59,5,2.0,88,19677,brunege01,0.9465533,PIT
455,19690,Ron Bryant,1970,3263,53,53,0,855.3337,442,380,3720,3265.0,827,72,1206.0,354,329,25,20.0,477,19690,bryanro01,-0.8257140000000001,SFG
456,19700,Garland Buckeye,1920,3270,30,39,1,562.0007,297,241,2486,0.0,619,15,0.0,208,208,0,19.0,132,19700,buckega01,7.699999999999999,CLE
457,19734,Fred Burchell,1900,3291,13,15,0,285.6670000000001,139,93,1108,0.0,268,3,0.0,92,92,0,16.0,124,19734,burchfr01,0.09999999999999998,BOS
458,19743,Tom Burgmeier,1970,3297,50,34,59,751.9996,327,289,3175,2834.0,749,66,1119.0,240,217,23,23.0,348,19743,burgmto01,-1.7799881000000002,KCR
459,19743,Tom Burgmeier,1980,3298,25,16,38,379.9997,122,103,1557,1412.0,350,18,477.0,99,73,26,8.0,180,19743,burgmto01,1.1849313,BOS
460,19752,Bobby Burke,1920,3303,11,14,0,326.3333,183,156,1392,0.0,332,13,0.0,105,105,0,13.0,98,19752,burkebo01,1.8,WSH
461,19752,Bobby Burke,1930,3304,27,32,5,592.3335999999998,323,282,2591,0.0,594,22,0.0,255,255,0,11.0,201,19752,burkebo01,5.4,WSH
462,19774,Bill Burns,1900,3314,14,25,0,361.333,129,73,1382,0.0,321,5,0.0,59,59,0,15.0,118,19774,burnsbi01,3.9,WSH
463,19774,Bill Burns,1910,3315,16,27,2,356.3337,202,144,1464,0.0,384,9,0.0,88,88,0,23.0,115,19774,burnsbi01,-0.5000000000000002,CIN
464,19775,Britt Burns,1980,3317,70,58,3,1081.667,482,431,4552,4101.0,1021,90,1527.0,358,350,8,24.0,729,19775,burnsbr01,14.574613000000001,CHW
465,19778,Dick Burns,1880,3319,25,27,0,460.334,304,157,616,0.0,473,15,0.0,80,80,0,0.0,199,19778,burnsdi01,0.8000000000000002,COR
466,19792,Pete Burnside,1960,3324,16,29,6,451.3336000000001,257,235,1985,1748.0,475,57,763.0,178,171,7,10.0,230,19792,burnspe01,-0.1868860000000001,WSA
467,19835,Bill Butland,1940,3357,9,3,1,150.6663,69,65,642,0.0,138,11,0.0,56,56,0,3.0,62,19835,butlabi01,1.9000000000000004,BOS
468,19838,Bill Butler,1960,3358,9,10,0,193.667,91,84,837,727.0,174,15,268.0,91,86,5,3.0,156,19838,butlebi02,2.5199700000000003,KCR
469,19838,Bill Butler,1970,3359,14,25,1,398.0004,213,193,1754,1495.0,381,50,625.0,221,218,3,3.0,252,19838,butlebi02,-2.8600659999999998,MIN
470,19862,Tommy Byrne,1940,3375,25,14,2,375.0003,175,161,1684,0.0,244,21,0.0,329,329,0,26.0,251,19862,byrneto01,2.9,NYY
471,19862,Tommy Byrne,1950,3376,60,55,10,987.0004,513,461,4461,2039.0,894,77,723.0,708,698,10,59.0,515,19862,byrneto01,-4.1497448,NYY
472,19879,Bob Cain,1950,3383,37,44,7,616.9997000000002,335,311,2556,495.0,611,51,187.0,311,311,0,22.0,244,19879,cainbo01,0.9631288000000005,CHW
473,19880,Les Cain,1970,3385,22,19,0,349.0007,181,157,1531,1291.0,306,31,466.0,205,203,2,13.0,290,19880,cainle01,2.335999768,DET
474,19887,Mike Caldwell,1970,3391,78,73,17,1426.6657000000002,680,564,6028,5518.0,1484,95,2068.0,373,323,50,30.0,657,19887,caldwmi01,8.218159999999997,MIL
475,19887,Mike Caldwell,1980,3392,59,57,1,981.999,502,456,4128,3836.0,1097,123,1696.0,224,212,12,5.0,282,19887,caldwmi01,-7.334227999999999,MIL
476,19892,Jeff Calhoun,1980,3396,6,7,5,150.66670000000005,57,42,629,548.0,120,8,178.0,65,50,15,1.0,104,19892,calhoje01,2.3858502999999995,HOU
477,19933,Billy Campbell,1900,3426,23,25,4,407.666,186,127,1632,0.0,411,3,0.0,93,93,0,19.0,116,19933,campbbi01,0.3,CIN
478,19958,John Candelaria,1970,3436,70,38,2,967.334,354,316,3941,3625.0,857,99,1367.0,236,208,28,14.0,561,19958,candejo01,17.116239999999998,PIT
479,19958,John Candelaria,1980,3437,97,69,14,1399.9997,604,544,5742,5304.0,1379,129,2126.0,303,279,24,20.0,971,19958,candejo01,25.947052,PIT
480,19958,John Candelaria,1990,3438,10,15,13,158.33329999999995,80,75,683,609.0,163,17,261.0,53,42,11,3.0,141,19958,candejo01,2.773416,LAD
481,19971,Doug Capilla,1970,3453,9,10,0,151.66590000000005,86,82,675,577.0,139,13,213.0,88,87,1,3.0,99,19971,capildo01,1.0676743999999998,CIN
482,19976,Pat Caraway,1930,3457,22,40,3,477.9997,328,284,2154,0.0,542,35,0.0,195,195,0,13.0,151,19976,carawpa01,1.4999999999999998,CHW
483,20005,Steve Carlton,1960,3474,47,34,1,738.3330000000001,253,223,3051,2748.0,655,41,889.0,242,229,13,10.0,586,20005,carltst01,12.888053,STL
484,20005,Steve Carlton,1970,3475,178,126,0,2746.9990000000007,1103,971,11360,10187.0,2413,238,3715.0,960,873,87,31.0,2097,20005,carltst01,47.88040000000001,PHI
485,20005,Steve Carlton,1980,3476,104,84,1,1732.3337,774,670,7271,6501.0,1604,135,2391.0,631,581,50,12.0,1453,20005,carltst01,38.830655,PHI
486,20008,Don Carman,1980,3477,47,50,9,796.6655999999998,393,358,3393,2994.0,736,94,1196.0,321,284,37,17.0,523,20008,carmado01,1.9016579500000008,PHI
487,20008,Don Carman,1990,3478,6,4,2,125.0,69,63,543,467.0,113,21,201.0,57,49,8,5.0,75,20008,carmado01,-0.12403736,CIN
488,20050,Arnold Carter,1940,3502,13,11,3,195.3337,75,59,826,0.0,197,3,0.0,53,53,0,5.0,37,20050,cartear01,2.5999999999999996,CIN
489,20059,Chuck Cary,1980,3509,6,8,3,179.6667,82,70,748,674.0,152,22,261.0,60,46,14,4.0,144,20059,carych01,1.194749,ATL
490,20059,Chuck Cary,1990,3510,8,18,0,230.667,124,120,1004,888.0,238,28,388.0,98,95,3,4.0,178,20059,carych01,1.3916289999999998,NYY
491,20068,Dan Casey,1880,3517,77,68,0,1319.6670000000001,694,427,4876,0.0,1299,35,0.0,378,378,0,27.0,574,20068,caseyda01,22.700000000000003,PHI
492,20068,Dan Casey,1890,3518,19,22,0,360.667,249,166,0,0.0,365,8,0.0,165,165,0,14.0,169,20068,caseyda01,0.3,SYR
493,20120,Pug Cavet,1910,3545,11,9,3,226.333,105,75,915,0.0,218,4,0.0,67,67,0,11.0,78,20120,cavetpu01,1.8999999999999997,DET
494,20121,Art Ceccarelli,1950,3546,9,18,0,293.6670000000001,186,164,1301,1129.0,293,45,504.0,143,131,12,4.0,156,20121,ceccaar01,-0.4420706,KCA
495,20129,John Cerutti,1980,3552,37,28,2,632.3326999999998,301,258,2670,2416.0,638,87,1045.0,205,190,15,12.0,320,20129,cerutjo01,-2.7141616,TOR
496,20129,John Cerutti,1990,3553,12,15,2,228.6667,126,119,998,886.0,256,32,407.0,86,74,12,6.0,78,20129,cerutjo01,-4.40019,DET
497,20145,Cliff Chambers,1940,3565,15,16,0,281.0,146,129,1217,0.0,286,19,0.0,106,106,0,8.0,144,20145,chambcl01,2.5,CHC
498,20145,Cliff Chambers,1950,3566,33,37,1,616.3330000000001,336,299,2477,791.0,638,51,293.0,255,255,0,13.0,230,20145,chambcl01,0.4682739999999999,STL
499,20183,Ken Chase,1930,3586,23,32,1,460.6666,259,229,2072,0.0,442,18,0.0,291,291,0,5.0,226,20183,chaseke01,3.8,WSH
500,20183,Ken Chase,1940,3587,30,52,0,704.3343000000001,388,324,3211,0.0,746,37,0.0,403,403,0,10.0,356,20183,chaseke01,3.3000000000000003,BOS
501,20212,Bob Chipman,1940,3609,39,35,9,662.9993,319,262,2916,0.0,675,43,0.0,310,310,0,4.0,249,20212,chipmbo01,7.9,CHC
502,20212,Bob Chipman,1950,3610,12,11,5,217.6667,119,102,884,436.0,214,20,172.0,76,76,0,6.0,73,20212,chipmbo01,0.39856983,BSN
503,20276,Bryan Clark,1980,3643,18,23,4,505.3334,269,234,2228,1933.0,527,38,772.0,251,235,16,5.0,256,20276,clarkbr01,-7.6231762000000005,SEA
504,20299,Watty Clark,1920,3656,36,33,6,573.0004,261,213,2455,0.0,600,20,0.0,154,154,0,6.0,263,20299,clarkwa02,12.7,BRO
505,20299,Watty Clark,1930,3657,75,64,10,1174.333,575,498,4986,0.0,1297,66,0.0,229,229,0,11.0,380,20299,clarkwa02,14.0,BRO
506,20326,Fritz Clausen,1890,3672,16,22,1,324.3333,211,131,0,0.0,315,7,0.0,159,159,0,12.0,134,20326,clausfr01,2.5999999999999996,LOU
507,20343,Pat Clements,1980,3683,12,10,12,284.6666,127,123,1211,1047.0,281,16,381.0,121,103,18,7.0,124,20343,clemepa01,-0.6770018,NYY
508,20365,David Clyde,1970,3700,18,33,0,416.333,243,214,1832,1606.0,457,33,668.0,180,176,4,12.0,228,20365,clydeda01,-1.1426385000000001,TEX
509,20405,Bert Cole,1920,3732,28,32,10,605.6667,393,314,2746,0.0,735,25,0.0,230,230,0,19.0,119,20405,colebe01,0.10000000000000009,DET
510,20425,Rip Coleman,1950,3746,7,23,5,243.3333,139,121,1097,948.0,279,21,394.0,119,118,1,3.0,130,20425,colemri01,0.6153293000000001,KCA
511,20451,Ray Collins,1910,3760,80,59,4,1262.3339999999996,464,350,4906,0.0,1176,13,0.0,251,251,0,10.0,480,20451,collira01,24.1,BOS
512,20458,Jackie Collum,1950,3763,32,26,12,447.3333,223,193,1889,802.0,447,43,340.0,162,151,11,16.0,165,20458,colluja01,0.09132850000000003,STL
513,20478,Keith Comstock,1990,3776,7,4,2,56.3333,24,20,232,197.0,42,4,61.0,27,22,5,0.0,50,20478,comstke01,0.940157,SEA
514,20511,Ed Connolly,1960,3794,6,12,0,130.0,96,85,627,507.0,143,9,205.0,98,94,4,7.0,118,20511,connoed02,-1.703121,BOS
515,20530,Tim Conroy,1980,3800,18,32,0,461.9993,273,239,2053,1740.0,435,47,697.0,275,262,13,9.0,307,20530,conroti01,1.4314840000000002,OAK
516,20563,Danny Coombs,1960,3816,8,7,2,147.0,74,69,601,523.0,167,4,201.0,61,51,10,6.0,107,20563,coombda01,0.9967229999999999,HOU
517,20563,Danny Coombs,1970,3817,11,20,0,245.9997,135,109,1093,969.0,266,22,412.0,101,82,19,2.0,142,20563,coombda01,-1.112235,SDP
518,20570,Johnny Cooney,1920,3824,34,44,6,788.3337,395,315,3380,0.0,842,39,0.0,220,220,0,18.0,223,20570,coonejo01,9.5,BSN
519,20581,Wilbur Cooper,1910,3832,96,83,11,1687.0010000000002,601,450,6815,0.0,1469,29,0.0,458,458,0,49.0,675,20581,coopewi01,24.6,PIT
520,20581,Wilbur Cooper,1920,3833,120,95,3,1793.0007000000005,805,669,7562,0.0,1946,74,0.0,395,395,0,51.0,577,20581,coopewi01,24.300000000000004,PIT
521,20621,Mike Cosgrove,1970,3859,12,11,8,274.6667,132,123,1201,1018.0,271,13,369.0,145,137,8,3.0,122,20621,cosgrmi01,-1.0796982,HOU
522,20643,Fritz Coumbe,1910,3871,35,33,12,659.9997,280,198,2634,0.0,667,8,0.0,192,192,0,12.0,193,20643,coumbfr01,7.6,CLE
523,20646,Harry Courtney,1920,3874,19,27,1,417.3337,287,234,1886,0.0,493,18,0.0,194,194,0,18.0,106,20646,courtha01,-1.4,WSH
524,20648,Harry Coveleski,1900,3875,11,11,1,185.3337,60,43,730,0.0,148,0,0.0,64,64,0,8.0,84,20648,covelha01,3.1,PHI
525,20648,Harry Coveleski,1910,3876,70,44,8,1062.6663,426,289,4264,0.0,922,13,0.0,312,312,0,49.0,427,20648,covelha01,14.200000000000003,DET
526,20704,Jim Crawford,1970,3911,15,28,13,431.333,252,211,1925,1677.0,477,27,661.0,182,158,24,7.0,276,20704,crawfji01,1.4640862,DET
527,20808,Mike Cuellar,1960,3959,65,52,10,1063.0,399,326,4278,3907.0,926,63,1281.0,293,260,33,5.0,795,20808,cuellmi01,17.739284,HOU
528,20808,Mike Cuellar,1970,3960,120,78,1,1740.9993000000004,723,646,7152,6481.0,1605,158,2395.0,525,498,27,7.0,832,20808,cuellmi01,19.22242855,BAL
529,20818,Nick Cullop,1910,3963,57,52,5,1012.3327,412,300,4001,0.0,955,23,0.0,253,253,0,29.0,397,20818,culloni01,7.800000000000001,CLE
530,20826,John Cumberland,1970,3973,15,16,2,328.3334,155,138,1369,1244.0,306,45,494.0,98,87,11,0.0,136,20826,cumbejo01,0.5008360000000001,SFG
531,20856,Jack Curtis,1960,3995,14,19,1,278.9997,174,150,1227,1103.0,328,33,488.0,89,78,11,4.0,108,20856,curtija01,-3.6532937000000008,CHC
532,20857,John Curtis,1970,3996,67,72,5,1140.3333,555,498,4942,4374.0,1185,96,1692.0,472,409,63,7.0,605,20857,curtijo01,0.3344723199999996,BOS
533,20857,John Curtis,1980,3997,22,25,6,500.6664,255,224,2157,1911.0,510,44,772.0,197,168,29,6.0,220,20857,curtijo01,1.7894100000000002,CAL
534,20860,Ed Cushman,1880,3999,45,60,0,910.0003,639,378,3829,0.0,918,18,0.0,252,252,0,16.0,482,20860,cushmed01,2.2,NYP
535,20860,Ed Cushman,1890,4000,17,21,1,315.6670000000001,208,147,0,0.0,346,5,0.0,107,107,0,10.0,125,20860,cushmed01,1.1,TOL
536,20867,Mike Cvengros,1920,4002,25,40,6,551.3337,315,281,2476,0.0,587,24,0.0,285,285,0,22.0,201,20867,cvengmi01,3.4,CHW
537,20890,Bill Daley,1890,4020,26,13,4,361.667,254,136,0,0.0,365,13,0.0,248,248,0,16.0,178,20890,daleybi01,2.2,BOS
538,20891,Bud Daley,1950,4021,22,24,3,401.6663,198,164,1742,1551.0,409,38,597.0,136,128,8,32.0,233,20891,daleybu01,4.12663936,CLE
539,20891,Bud Daley,1960,4022,38,40,7,565.6669999999999,304,269,2483,2193.0,589,61,926.0,215,203,12,28.0,316,20891,daleybu01,1.6033401819999995,NYY
540,20910,Bill Dammann,1890,4025,24,15,3,367.667,227,166,0,0.0,473,5,0.0,115,115,0,13.0,74,20910,dammabi01,3.1999999999999997,CIN
541,20913,Dave Danforth,1910,4027,28,29,15,501.3334,248,197,2084,0.0,503,5,0.0,200,200,0,15.0,222,20913,danfoda01,0.3999999999999999,CHW
542,20913,Dave Danforth,1920,4028,43,37,8,684.6667,370,315,2968,0.0,732,40,0.0,255,255,0,19.0,262,20913,danfoda01,9.3,SLB
543,20966,Ted Davidson,1960,4053,11,7,5,195.3334,88,80,813,738.0,189,21,287.0,54,46,8,3.0,124,20966,davidte01,0.2394328,CIN
544,20990,Jim Davis,1950,4068,24,26,10,406.3337,209,181,1616,930.0,383,42,381.0,179,169,10,11.0,197,20990,davisji01,0.5233839999999998,CHC
545,21022,Ken Dayley,1980,4087,29,41,37,495.33359999999993,236,200,2110,1872.0,493,37,712.0,186,144,42,7.0,350,21022,dayleke01,6.505991000000001,STL
546,21034,Chubby Dean,1930,4095,8,9,7,148.667,107,81,699,0.0,161,11,0.0,101,101,0,0.0,46,21034,deanch01,0.3999999999999999,PHA
547,21034,Chubby Dean,1940,4096,22,37,2,537.0,349,306,2395,0.0,620,41,0.0,222,222,0,1.0,149,21034,deanch01,-3.0999999999999996,CLE
548,21157,Jim Devlin,1880,4162,11,10,1,170.3333,116,64,104,0.0,161,3,0.0,58,58,0,18.0,90,21157,devliji02,0.09999999999999998,STL
549,21167,Carlos Diaz,1980,4164,13,6,4,257.9999,107,92,1103,985.0,249,17,359.0,97,68,29,1.0,207,21167,diazca01,5.348528,LAD
550,21217,Frank Dipino,1980,4193,29,35,53,592.3331,273,243,2502,2207.0,551,43,796.0,229,184,45,7.0,453,21217,dipinfr01,10.127166099999998,HOU
551,21217,Frank Dipino,1990,4194,6,3,3,107.6667,59,55,479,418.0,122,10,188.0,40,28,12,3.0,62,21217,dipinfr01,0.320399,STL
552,21240,George Dockins,1940,4218,8,6,0,131.6663,60,52,574,0.0,142,6,0.0,40,40,0,0.0,34,21240,dockige01,2.0999999999999996,BRO
553,21248,Ed Doheny,1890,4221,31,50,0,709.6667,523,316,0,0.0,747,8,0.0,382,382,0,74.0,301,21248,dohened01,-1.2000000000000002,NYG
554,21248,Ed Doheny,1900,4222,44,33,2,695.3340000000002,413,267,939,0.0,674,5,0.0,285,285,0,67.0,271,21248,dohened01,-0.2999999999999998,PIT
555,21251,Cozy Dolan,1890,4223,12,11,1,239.333,186,116,0,0.0,270,12,0.0,94,94,0,17.0,61,21251,dolanco01,1.7,BSN
556,21333,Pete Dowling,1890,4275,27,39,0,610.0,372,250,0,0.0,652,13,0.0,223,223,0,45.0,176,21333,dowlipe01,5.0,LOU
557,21333,Pete Dowling,1900,4276,12,25,1,306.0,209,141,0,0.0,340,2,0.0,118,118,0,19.0,124,21333,dowlipe01,1.4,CLE
558,21336,Al Downing,1960,4277,72,57,2,1235.3343,492,443,5156,4537.0,1014,96,1535.0,526,506,20,11.0,1028,21336,downial01,20.564142999999998,NYY
559,21336,Al Downing,1970,4278,51,50,1,1032.9997,446,368,4381,3860.0,932,81,1327.0,407,395,12,20.0,611,21336,downial01,8.347496000000001,LAD
560,21368,Dave Dravecky,1980,4303,64,57,10,1062.667,421,370,4368,3944.0,968,97,1457.0,315,289,26,16.0,558,21368,draveda01,17.1585551,SDP
561,21371,Clem Dreisewerd,1940,4305,6,8,2,140.6667,75,71,607,0.0,160,14,0.0,39,39,0,1.0,39,21371,dreiscl01,0.1,BOS
562,21383,Denny Driscoll,1880,4312,38,39,0,680.9997000000002,414,233,633,0.0,747,7,0.0,67,67,0,2.0,171,21383,driscde01,4.9,PIT
563,21392,Carl Druhot,1900,4319,8,10,0,157.6663,77,54,661,0.0,147,1,0.0,57,57,0,8.0,60,21392,druhoca01,0.4000000000000001,STL
564,21443,Jack Dunleavy,1900,4357,7,12,0,157.0,91,73,700,0.0,164,6,0.0,80,80,0,9.0,79,21443,dunleja01,0.5,STL
565,21483,Eddie Dyer,1920,4387,15,15,3,256.0003,164,135,1145,0.0,316,11,0.0,96,96,0,13.0,63,21483,dyered01,-0.5,STL
566,21496,Arnold Earley,1960,4391,12,20,14,381.3336,240,190,1730,1485.0,400,35,602.0,184,164,20,13.0,310,21496,earlear01,0.10687690000000016,BOS
567,21510,Jamie Easterly,1970,4401,8,20,2,232.6668,170,148,1082,919.0,272,19,388.0,137,124,13,7.0,127,21510,easteja01,-3.0363523,ATL
568,21510,Jamie Easterly,1980,4402,15,13,12,378.6668,190,166,1662,1426.0,391,29,544.0,182,165,17,10.0,223,21510,easteja01,-0.4996544,CLE
569,21549,Jim Joe Edwards,1920,4434,26,37,4,584.3330000000002,360,284,2663,0.0,666,19,0.0,278,278,0,13.0,211,21549,edwarji01,1.7000000000000006,CLE
570,21574,Harry Eisenstat,1930,4453,21,21,6,325.3327,182,150,1412,0.0,371,21,0.0,80,80,0,2.0,100,21574,eisenha01,4.4,BRO
571,21596,Jumbo Elliott,1920,4465,16,31,4,410.9997,222,179,1762,0.0,421,14,0.0,152,152,0,9.0,183,21596,ellioju01,4.1,BRO
