,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1509,61000,Tyler Skaggs,2010,12640,28,38,0,520.6664,272,255,2219,1997.0,516,63,817.0,177,174,3,23.0,476,61000,skaggty01,4.9248554,LAA
1510,65751,Chris Sale,2010,12651,109,73,12,1629.6663,590,548,6544,5230.0,1312,172,1824.0,374,360,14,98.0,2007,65751,salech01,47.398615,CHW
1511,65851,Scott Alexander,2010,12666,10,7,7,177.3333,68,63,737,634.0,165,10,224.0,72,68,4,4.0,143,65851,alexasc02,-0.09336429999999994,KCR
1512,65947,Tyler Anderson,2010,12682,18,24,0,396.9997,219,207,1683,1520.0,405,66,712.0,124,121,3,8.0,367,65947,anderty01,2.9896174,COL
1513,66064,Felipe Vazquez,2010,12695,17,13,89,330.6666,109,96,1348,1050.0,254,22,321.0,101,94,7,16.0,402,66064,riverfe01,8.36996,PIT
1514,66214,Tyler Matzek,2010,12703,8,12,0,139.667,63,63,605,449.0,141,11,186.0,63,62,1,6.0,106,66214,matzety01,-0.655514,COL
1515,66565,Adam Liberatore,2010,12723,6,5,0,88.66669999999998,35,35,366,212.0,73,6,70.0,36,28,8,3.0,93,66565,liberad01,0.7102500999999999,LAD
1516,66931,Jesse Biddle,2010,12744,6,2,1,91.6667,59,48,418,353.0,92,11,142.0,53,47,6,7.0,93,66931,biddlje01,0.0859930000000001,ATL
1517,66960,Alex Claudio,2010,12748,15,8,12,292.6667,119,110,1226,1065.0,300,23,414.0,72,61,11,13.0,202,66960,claudal01,1.8809213,TEX
1518,67034,Adam Kolarek,2010,12762,8,3,3,97.6666,43,41,410,375.0,95,9,146.0,25,18,7,8.0,68,67034,kolarad01,0.919355,TBR
1519,67083,Robbie Ray,2010,12766,47,46,0,790.6667,390,361,3395,2490.0,712,110,1032.0,356,338,18,29.0,974,67083,rayro02,11.624486999999998,ARI
1520,67118,Chasen Shreve,2010,12771,16,8,2,203.6666,91,84,886,553.0,178,37,248.0,102,97,5,6.0,234,67118,shrevch01,1.960761,NYY
1521,67588,Eduardo Rodriguez,2010,12790,51,31,0,699.0,323,313,2973,2204.0,659,88,883.0,247,241,6,23.0,707,67588,rodried05,7.0596130000000015,BOS
1522,67604,Wandy Peralta,2010,12792,6,7,0,157.0,92,86,701,607.0,162,22,258.0,78,72,6,6.0,125,67604,peralwa01,-1.464579,CIN
1523,67864,Kyle Ryan,2010,12807,12,8,0,189.0,84,79,793,491.0,182,16,170.0,73,65,8,5.0,128,67864,ryanky01,-0.5751848,DET
1524,68307,Brian Johnson,2010,12821,7,9,0,170.9999,95,90,767,676.0,192,27,320.0,73,69,4,1.0,142,68307,johnsbr02,-2.5646,BOS
1525,68404,Drew Pomeranz,2010,12827,46,58,5,814.0007,394,365,3492,2761.0,758,107,1128.0,349,341,8,23.0,824,68404,pomerdr01,4.7233059,BOS
1526,68438,Tyler Lyons,2010,12833,13,12,3,281.0001,141,131,1178,821.0,252,40,334.0,89,81,8,16.0,289,68438,lyonsty01,3.0494993,STL
1527,68467,James Paxton,2010,12836,56,32,0,733.0,315,285,3035,2510.0,661,77,941.0,223,214,9,8.0,803,68467,paxtoja01,16.050385000000002,SEA
