,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
93,16982,Mariano Duncan,1980,7947,421,1625,1488,350,108.0,6.0,184,23,491,93,87.0,6.0,12,0,0,0,39,0,356,5,0,5,10,0,106,27.0,duncama01,16982,0.5
94,17000,Kevin Elster,1990,15953,536,1965,1720,396,251.0,27.0,206,55,668,185,175.0,10.0,8,0,0,4,1,2,520,0,0,0,0,0,8,8.0,elsteke01,17000,1.9
95,17005,Alvaro Espinoza,1990,13956,723,2005,1873,464,150.0,13.0,192,22,625,60,60.0,0.0,14,1,0,24,65,219,427,0,0,0,0,1,10,14.0,espinal01,17005,2.8000000000000003
96,17022,Tony Fernandez,1980,13902,867,3600,3317,967,338.0,26.0,426,36,1328,214,205.0,9.0,19,0,0,0,0,10,849,0,0,0,0,1,112,49.0,fernato01,17022,23.900000000000002
97,17022,Tony Fernandez,1990,17949,1215,5059,4471,1273,491.0,34.0,620,56,1782,468,429.0,39.0,44,0,0,0,201,279,724,0,0,0,0,11,133,86.0,fernato01,17022,21.900000000000002
98,17049,Greg Gagne,1980,13902,717,2352,2151,537,216.0,16.0,309,47,851,119,117.0,2.0,22,0,0,0,6,1,699,0,6,1,7,4,54,31.0,gagnegr01,17049,10.899999999999999
99,17049,Greg Gagne,1990,15948,1081,3855,3522,903,388.0,22.0,403,64,1318,248,230.0,18.0,18,0,0,0,0,0,1066,0,1,0,1,2,54,65.0,gagnegr01,17049,15.5
100,17087,Craig Grebeck,1990,19945,663,1985,1706,445,162.0,13.0,200,16,605,201,199.0,2.0,17,0,0,0,243,152,250,4,0,1,5,10,4,11.0,grebecr01,17087,10.000000000000002
101,17103,Ozzie Guillen,1980,9935,769,2926,2761,726,224.0,20.0,314,6,912,86,76.0,10.0,5,0,0,0,0,0,767,0,0,0,0,0,101,46.0,guilloz01,17103,13.799999999999999
102,17103,Ozzie Guillen,1990,19945,1161,4093,3818,1012,383.0,40.0,437,20,1313,147,132.0,15.0,2,0,0,1,3,8,1087,2,0,0,2,1,67,62.0,guilloz01,17103,6.200000000000001
103,17175,David Howard,1990,17955,645,1795,1583,362,148.0,15.0,169,11,480,137,130.0,7.0,9,1,0,12,142,53,361,20,25,28,73,4,23,19.0,howarda02,17175,2.6
104,17192,Jeff Huson,1990,17951,705,1853,1633,386,134.0,16.0,215,8,485,168,165.0,3.0,6,0,0,36,180,94,353,10,2,3,15,11,57,19.0,husonje01,17192,3.3999999999999995
105,17294,Pat Listach,1990,11967,503,1991,1772,444,143.0,9.0,250,5,548,167,165.0,2.0,8,0,0,0,72,2,333,4,87,2,93,0,116,38.0,listapa01,17294,4.4
106,17368,Pat Meares,1990,13972,763,2762,2555,681,310.0,30.0,319,41,970,104,102.0,2.0,47,0,0,0,0,0,758,0,3,1,4,0,42,25.0,mearepa01,17368,6.0
107,17552,Jeff Reboulet,1990,15964,727,1785,1524,362,139.0,6.0,206,14,473,203,202.0,1.0,11,0,1,40,202,212,276,5,3,15,23,6,17,12.0,rebouje01,17552,8.3
108,17564,Luis Rivera,1990,13955,492,1482,1323,311,136.0,6.0,159,19,449,109,109.0,0.0,10,0,0,0,43,10,408,1,0,0,1,3,14,14.0,riverlu01,17564,1.4000000000000001
109,17780,Alan Trammell,1980,19845,1389,5905,5192,1504,637.0,53.0,815,130,2239,547,514.0,33.0,27,0,0,0,0,0,1349,0,0,0,0,26,167,71.0,trammal01,17780,52.8
110,17780,Alan Trammell,1990,13951,604,2398,2145,606,282.0,15.0,293,47,879,211,196.0,15.0,8,0,0,0,11,43,490,5,4,0,9,32,49,23.0,trammal01,17780,15.1
111,17867,Spike Owen,1980,13902,867,3236,2847,682,253.0,18.0,353,25,940,311,283.0,28.0,13,0,0,0,0,0,850,0,0,0,0,3,55,34.0,owensp01,17867,4.8
112,17867,Spike Owen,1990,11955,677,2379,2083,529,186.0,16.0,234,21,742,258,229.0,29.0,2,0,0,4,17,99,523,0,0,0,0,2,27,28.0,owensp01,17867,7.7
113,17881,Curtis Wilkerson,1980,13902,687,1890,1751,445,116.0,9.0,203,4,551,97,94.0,3.0,11,0,0,0,258,57,355,1,0,0,1,2,57,33.0,wilkecu01,17881,1.9
114,17959,Kurt Stillwell,1980,7950,493,1782,1596,402,166.0,8.0,200,21,579,151,146.0,5.0,10,0,0,0,37,20,385,0,0,0,0,0,25,19.0,stillku01,17959,4.3
115,17959,Kurt Stillwell,1990,9962,505,1696,1529,377,144.0,19.0,162,13,513,123,106.0,17.0,8,0,0,1,150,9,305,0,0,0,0,0,13,10.0,stillku01,17959,-1.2000000000000002
116,17961,Dickie Thon,1980,19845,877,3066,2782,746,265.0,19.0,339,49,1080,239,208.0,31.0,6,0,0,1,52,24,726,0,0,0,0,15,126,46.0,thondi01,17961,19.599999999999998
117,17961,Dickie Thon,1990,7966,475,1743,1611,411,162.0,16.0,151,22,564,104,84.0,20.0,3,0,0,0,22,25,409,0,0,0,0,14,41,17.0,thondi01,17961,4.1
118,17978,Scott Fletcher,1980,17865,997,3747,3268,875,302.0,20.0,436,17,1121,350,343.0,7.0,34,0,0,0,154,78,812,0,0,0,0,2,56,39.0,fletcsc01,17978,21.799999999999997
119,18067,Tom Foley,1980,13902,721,2120,1920,488,192.0,13.0,185,26,696,172,135.0,37.0,5,1,0,0,295,52,328,0,0,0,0,0,26,28.0,foleyto02,18067,6.0
120,18115,Robin Yount,1970,11859,845,3495,3224,871,303.0,25.0,378,34,1173,183,172.0,11.0,6,0,0,0,0,0,840,0,1,0,1,0,78,42.0,yountro01,18115,15.0
121,18132,Felix Fermin,1990,13951,681,2335,2128,562,180.0,17.0,229,4,667,113,111.0,2.0,16,0,0,2,68,17,596,0,0,0,0,0,18,16.0,fermife01,18132,-0.6000000000000001
122,18161,Ernest Riles,1980,9935,586,2072,1864,503,207.0,20.0,237,29,693,165,159.0,6.0,6,0,0,0,35,206,310,2,0,3,5,6,15,23.0,rileser01,18161,5.5
123,18208,Dick Schofield,1980,13902,827,3005,2658,613,229.0,19.0,315,47,887,227,225.0,2.0,34,0,0,0,2,0,821,0,0,0,0,1,87,22.0,schofdi02,18208,12.5
124,18208,Dick Schofield,1990,13951,541,1923,1641,376,124.0,7.0,190,9,471,219,210.0,9.0,14,0,0,0,2,2,527,0,0,0,0,0,33,19.0,schofdi02,18208,6.4
125,18261,Ozzie Smith,1970,3957,315,1317,1177,276,73.0,4.0,146,1,338,84,79.0,5.0,2,0,0,0,0,0,314,0,0,0,0,0,68,19.0,smithoz01,18261,4.9
126,18261,Ozzie Smith,1980,19845,1468,6159,5330,1392,477.0,34.0,703,17,1762,662,602.0,60.0,23,0,0,0,0,0,1452,0,0,0,0,0,364,86.0,smithoz01,18261,52.199999999999996
127,18261,Ozzie Smith,1990,13951,790,3302,2889,792,243.0,25.0,408,10,984,326,312.0,14.0,8,0,0,0,0,0,745,0,0,0,0,0,148,43.0,smithoz01,18261,19.900000000000002
128,18272,Alfredo Griffin,1980,19845,1419,5434,5051,1263,418.0,36.0,571,21,1646,230,209.0,21.0,17,0,0,0,28,4,1371,0,0,0,0,1,155,107.0,griffal01,18272,3.3999999999999995
129,18272,Alfredo Griffin,1990,7966,359,1153,1056,237,75.0,11.0,101,1,277,63,47.0,16.0,3,0,0,0,27,6,316,0,0,0,0,0,14,8.0,griffal01,18272,-2.7999999999999994
130,18275,Rafael Ramirez,1980,19845,1233,4973,4640,1217,414.0,32.0,484,49,1609,220,194.0,26.0,19,0,0,0,0,69,1155,2,0,1,3,0,99,67.0,ramirra01,18275,7.699999999999999
131,18352,Luis Aguayo,1980,19845,568,1244,1104,260,109.0,12.0,142,37,434,94,82.0,12.0,20,0,0,0,147,97,259,0,0,0,0,2,7,5.0,aguaylu01,18352,2.9000000000000004
132,18418,Gene Alley,1960,13762,765,2907,2648,698,229.0,15.0,303,36,963,176,153.0,23.0,24,0,0,0,122,16,598,0,0,0,0,0,42,22.0,alleyge01,18418,21.099999999999998
133,18418,Gene Alley,1970,7886,430,1425,1279,301,113.0,7.0,139,19,429,124,85.0,39.0,3,0,0,0,8,15,379,0,0,0,0,0,21,8.0,alleyge01,18418,3.1999999999999997
134,18430,Bill Almon,1970,11859,429,1448,1321,337,81.0,3.0,144,4,419,95,77.0,18.0,0,0,0,0,68,114,225,0,1,0,1,0,47,20.0,almonbi01,18430,1.8000000000000003
135,18430,Bill Almon,1980,17856,807,2211,2009,509,215.0,26.0,246,32,723,155,149.0,6.0,6,0,1,96,34,98,391,123,7,35,165,5,81,40.0,almonbi01,18430,2.7000000000000006
136,18443,Dave Altizer,1900,7630,474,1891,1649,410,112.0,0.0,193,4,494,128,0.0,0.0,32,0,0,100,38,16,197,4,53,51,108,0,117,0.0,altizda01,18443,7.1000000000000005
137,18448,Luis Alvarado,1970,13813,446,1177,1109,242,83.0,5.0,113,5,306,48,38.0,10.0,2,0,0,0,141,44,225,0,0,0,0,2,11,9.0,alvarlu01,18448,-2.5
138,18457,Ruben Amaro,1960,19645,900,2369,2079,488,156.0,12.0,203,8,609,222,199.0,23.0,10,0,0,169,19,53,669,1,0,0,1,0,11,13.0,amaroru01,18457,2.9999999999999996
139,18473,Dave Anderson,1980,13902,662,1852,1616,375,116.0,11.0,196,13,491,187,172.0,15.0,5,0,0,0,30,179,403,0,0,0,0,0,46,20.0,anderda02,18473,4.7
140,18522,Luis Aparicio,1950,7830,592,2513,2277,595,188.0,15.0,325,14,768,174,168.0,6.0,5,0,0,0,0,0,591,0,0,0,0,0,134,31.0,aparilu01,18522,12.100000000000001
141,18522,Luis Aparicio,1960,19645,1494,6525,5975,1548,427.0,40.0,765,57,2057,405,391.0,14.0,17,0,0,0,0,0,1482,0,0,0,0,0,342,94.0,aparilu01,18522,34.8
142,18522,Luis Aparicio,1970,7886,513,2192,1978,534,176.0,21.0,245,12,679,157,155.0,2.0,5,0,0,0,0,0,508,0,0,0,0,0,30,11.0,aparilu01,18522,8.9
143,18528,Luke Appling,1930,19345,1184,4979,4311,1343,615.0,0.0,695,23,1756,624,0.0,0.0,4,0,0,0,39,14,1098,0,0,0,0,0,86,56.0,applilu01,18528,33.7
144,18528,Luke Appling,1940,17501,1188,5120,4417,1376,488.0,0.0,613,22,1731,666,0.0,0.0,7,0,0,0,0,74,1100,0,0,0,0,0,91,52.0,applilu01,18528,40.699999999999996
145,18595,Rick Auerbach,1970,17775,562,1434,1290,285,76.0,4.0,150,7,366,120,110.0,10.0,5,0,0,0,56,33,399,0,0,0,0,0,35,17.0,auerbri01,18595,1.2999999999999998
146,18623,Charlie Babb,1900,5712,347,1376,1180,287,116.0,0.0,144,0,354,125,0.0,0.0,45,0,0,31,2,13,300,0,0,0,0,0,66,0.0,babbch01,18623,3.9999999999999996
147,18659,Bob Bailor,1980,11895,535,1527,1393,359,100.0,10.0,151,2,421,95,89.0,6.0,7,3,0,0,159,106,190,57,29,37,123,1,56,15.0,bailobo01,18659,5.700000000000001
148,18724,Dave Bancroft,1910,9585,639,2712,2352,583,157.0,0.0,308,14,743,280,0.0,0.0,7,0,0,0,3,0,628,2,0,0,2,0,63,27.0,bancrda01,18724,14.0
149,18724,Dave Bancroft,1920,19245,1264,5513,4813,1420,434.0,0.0,740,18,1829,545,0.0,0.0,16,0,0,0,11,3,1237,0,0,0,0,0,82,48.0,bancrda01,18724,35.00000000000001
150,18732,Ernie Banks,1950,13692,922,3954,3562,1051,661.0,32.0,582,228,1987,327,216.0,67.0,23,0,0,0,0,58,865,0,0,0,0,0,35,34.0,bankser01,18732,42.3
151,18736,Alan Bannister,1970,11859,447,1566,1404,377,129.0,16.0,207,5,484,126,122.0,4.0,8,0,0,1,75,13,158,90,44,7,141,27,43,18.0,bannial01,18736,0.9999999999999999
152,18741,Walter Barbare,1920,5763,297,1207,1109,303,101.0,0.0,113,0,361,54,0.0,0.0,0,0,0,14,65,45,155,0,0,0,0,0,18,7.0,barbawa01,18741,1.7
153,18822,Jack Barry,1910,17227,1059,4261,3602,891,398.0,0.0,463,9,1111,342,0.0,0.0,63,0,0,0,319,0,739,0,0,0,0,0,131,34.0,barryja01,18822,23.400000000000002
154,18827,Dick Bartell,1930,19345,1358,5949,5216,1504,476.0,0.0,781,54,2087,464,0.0,0.0,64,0,0,0,3,1,1348,0,0,0,0,0,67,0.0,bartedi01,18827,31.4
155,18827,Dick Bartell,1940,9712,442,1845,1568,406,141.0,0.0,221,22,553,221,0.0,0.0,25,0,0,0,2,194,229,0,0,0,0,0,27,3.0,bartedi01,18827,7.199999999999999
156,18977,Mark Belanger,1960,9835,383,1353,1208,286,81.0,11.0,138,5,345,105,97.0,8.0,6,0,0,0,26,2,341,0,0,0,0,0,30,9.0,belanma01,18977,7.2
157,18977,Mark Belanger,1970,19745,1402,4743,4119,934,272.0,34.0,486,14,1152,442,429.0,13.0,34,0,0,0,0,0,1385,0,0,0,0,0,128,62.0,belanma01,18977,33.400000000000006
158,19067,Dale Berra,1980,15868,736,2505,2255,542,246.0,24.0,209,40,781,185,133.0,52.0,10,0,0,0,25,156,567,0,0,0,0,4,29,16.0,berrada01,19067,6.1
159,19177,Lena Blackburne,1910,11488,548,2085,1806,386,138.0,0.0,172,4,483,162,0.0,0.0,14,0,0,2,144,180,213,0,0,0,0,0,54,26.0,blackle01,19177,2.8
160,19210,Larvell Blanks,1970,15804,541,1710,1545,401,160.0,20.0,180,18,534,116,114.0,2.0,3,0,0,0,123,28,351,0,0,0,0,11,8,5.0,blankla01,19210,2.6
161,19289,Joe Boley,1920,5784,341,1230,1098,303,148.0,0.0,134,3,401,82,0.0,0.0,6,0,0,0,0,1,334,0,0,0,0,0,14,6.0,boleyjo01,19289,2.9
162,19294,Milt Bolling,1950,13685,400,1328,1161,280,94.0,7.0,127,19,401,114,40.0,1.0,10,0,0,0,55,18,305,0,0,0,0,0,5,12.0,bollimi01,19294,2.1999999999999997
163,19371,Lou Boudreau,1940,19445,1425,6154,5268,1578,692.0,0.0,758,62,2221,706,0.0,0.0,27,0,3,6,1,38,1372,0,0,0,0,0,47,47.0,boudrlo01,19371,60.0
164,19377,Larry Bowa,1970,19745,1489,6385,5915,1552,351.0,32.0,725,11,1909,309,286.0,23.0,13,0,0,0,1,0,1481,0,0,0,0,0,251,81.0,bowala01,19377,19.1
165,19377,Larry Bowa,1980,11895,758,2718,2503,639,174.0,11.0,262,4,787,165,143.0,22.0,4,0,0,0,4,0,741,0,0,0,0,0,67,24.0,bowala01,19377,3.6999999999999997
166,19455,Bobby Bragan,1940,13605,597,2051,1900,456,172.0,0.0,136,15,587,110,0.0,0.0,2,0,140,0,7,24,415,0,0,0,0,0,12,0.0,bragabo01,19455,0.9
167,19515,Eddie Bressoud,1960,15708,918,3286,2930,739,312.0,23.0,362,80,1197,301,266.0,35.0,9,0,0,9,8,38,825,1,0,0,1,0,8,11.0,bressed01,19515,14.299999999999999
168,19533,Rocky Bridges,1950,17595,812,2243,2011,497,169.0,13.0,224,14,634,178,108.0,9.0,6,0,0,0,209,177,412,1,0,0,1,0,9,15.0,bridgro01,19533,2.5
169,19535,Al Bridwell,1900,9535,634,2505,2165,552,166.0,0.0,219,0,617,243,0.0,0.0,20,0,0,1,7,43,556,3,2,14,19,0,83,0.0,bridwal01,19535,11.2
170,19535,Al Bridwell,1910,11475,618,2423,2004,512,182.0,0.0,238,2,612,314,0.0,0.0,12,0,0,1,53,15,538,0,0,0,0,0,53,16.0,bridwal01,19535,7.8999999999999995
171,19549,Ed Brinkman,1960,17685,984,3518,3220,704,233.0,17.0,287,30,952,229,204.0,25.0,19,0,0,0,2,13,947,1,0,0,1,0,19,21.0,brinked01,19549,6.0
172,19549,Ed Brinkman,1970,11835,861,3122,2825,651,228.0,23.0,263,30,860,215,196.0,19.0,21,0,0,0,3,6,848,0,0,0,0,0,11,14.0,brinked01,19549,7.200000000000001
173,19627,Larry Brown,1960,13762,856,3158,2809,667,211.0,18.0,271,45,918,260,236.0,24.0,20,0,0,0,171,29,640,0,0,0,0,0,20,21.0,brownla01,19627,8.1
174,19709,Don Buddin,1950,5873,401,1637,1359,325,133.0,10.0,198,27,485,239,237.0,2.0,13,0,0,0,0,0,399,0,0,0,0,0,8,5.0,buddido01,19709,3.3
175,19769,Rick Burleson,1970,11859,876,3773,3420,935,309.0,36.0,425,30,1237,248,242.0,6.0,19,0,0,0,31,2,849,0,0,0,0,0,55,42.0,burleri01,19769,15.900000000000002
176,19769,Rick Burleson,1980,13883,470,1944,1719,466,140.0,10.0,231,20,616,172,167.0,5.0,9,0,0,0,61,4,343,0,0,0,0,45,17,26.0,burleri01,19769,6.900000000000001
177,19772,Johnny Burnett,1930,11595,519,1989,1784,511,210.0,0.0,278,9,661,162,0.0,0.0,8,0,0,0,93,133,253,1,0,2,3,0,14,12.0,burnejo01,19772,3.9999999999999996
