,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP
158,28821,Bill Sherdel,1920,8256,139,108,24,2061.334,999,848,8853,0.0,2317,116,0.0,490,490,0,45,657,28821,sherdbi01,24.8
159,28878,Chris Short,1960,8295,115,96,13,1843.666,739,653,7686,6908.0,1693,137,2536.0,615,555,60,49,1329,28878,shortch02,28.7
160,28904,Ed Siever,1900,8309,83,82,2,1507.0006999999996,674,435,258,0.0,1550,24,0.0,311,311,0,39,470,28904,sieveed01,20.699999999999996
161,28922,Curt Simmons,1950,8313,103,87,3,1625.3329999999999,728,621,6756,3488.0,1545,117,1363.0,543,519,24,23,870,28922,simmocu01,24.0
162,28922,Curt Simmons,1960,8314,78,73,1,1412.668,640,537,5948,5471.0,1461,123,2154.0,351,313,38,27,649,28922,simmocu01,17.7
163,29204,Warren Spahn,1950,8443,202,131,18,2822.667,1022,915,11175,5944.0,2540,222,2123.0,790,754,36,20,1464,29204,spahnwa01,57.3
164,29204,Warren Spahn,1960,8444,96,73,6,1430.668,606,548,5903,5429.0,1393,145,2114.0,350,326,24,16,657,29204,spahnwa01,15.0
165,29246,Paul Splittorff,1970,8468,123,106,1,1905.6667,904,776,8054,7273.0,1925,137,2781.0,595,562,33,28,817,29246,splitpa01,18.6
166,29405,Lefty Stewart,1930,8540,77,72,3,1265.0007,689,588,5437,0.0,1378,94,0.0,369,369,0,10,384,29405,stewale01,18.5
167,29428,Chuck Stobbs,1950,8556,82,113,15,1588.3331,856,756,6897,3685.0,1668,153,1605.0,590,566,24,28,729,29428,stobbch01,12.000000000000002
168,29691,Frank Tanana,1970,8697,91,66,0,1411.3326,507,459,5775,5266.0,1238,128,1874.0,377,353,24,47,1120,29691,tananfr01,32.300000000000004
169,29691,Frank Tanana,1980,8698,107,122,0,1993.999,989,861,8493,7715.0,2014,219,3124.0,589,530,59,55,1225,29691,tananfr01,20.8
170,29693,Jesse Tannehill,1900,8700,138,80,2,1935.3337,779,557,406,0.0,1880,32,0.0,320,320,0,95,738,29693,tanneje01,25.4
171,30060,Steve Trout,1980,8915,74,84,0,1324.0003,704,620,5776,5136.0,1481,80,2016.0,508,465,43,28,569,30060,troutst01,11.2
172,30077,John Tudor,1980,8927,104,66,1,1622.6663,629,564,6665,6102.0,1518,144,2294.0,436,409,27,27,914,30077,tudorjo01,31.0
173,30112,Lefty Tyler,1910,8948,113,102,7,1986.9983,842,641,8203,0.0,1738,43,0.0,758,758,0,64,938,30112,tylerle01,18.8
174,30219,Johnny Vander Meer,1940,9013,93,92,1,1589.333,657,587,6758,0.0,1363,71,0.0,805,805,0,12,972,30219,vandejo01,23.4
175,30239,Hippo Vaughn,1910,9027,156,110,5,2317.335,835,595,9460,0.0,2006,23,0.0,701,701,0,72,1253,30239,vaughhi01,43.4
176,30245,Bob Veale,1960,9032,100,76,4,1611.3334,587,506,6397,5602.0,1372,67,1740.0,714,670,44,26,1428,30245,vealebo01,25.200000000000003
177,30317,Rube Waddell,1900,9068,183,139,3,2835.3340000000003,1000,666,1972,0.0,2343,32,0.0,772,772,0,105,2251,30317,wadderu01,58.5
178,30351,Rube Walberg,1920,9091,75,67,18,1222.3339999999998,620,520,5260,0.0,1250,84,0.0,462,462,0,17,538,30351,walberu01,19.3
179,30351,Rube Walberg,1930,9092,80,74,14,1421.6670000000001,803,703,6271,0.0,1545,79,0.0,569,569,0,10,547,30351,walberu01,19.6
180,30358,Bill Walker,1930,9097,80,64,8,1231.6657,591,489,5384,0.0,1303,79,0.0,445,445,0,23,518,30358,walkebi01,13.8
181,30581,Carl Weilman,1910,9226,75,80,8,1337.6673,497,360,5239,0.0,1193,16,0.0,357,357,0,29,491,30581,weilmca01,23.6
182,30582,Jake Weimer,1900,9228,97,69,2,1472.6670000000001,511,365,5971,0.0,1227,14,0.0,493,493,0,73,657,30582,weimeja01,25.8
183,30702,Doc White,1900,9278,154,115,2,2315.0,806,565,1865,0.0,2022,26,0.0,499,499,0,86,1105,30702,whitedo01,34.900000000000006
184,30729,Earl Whitehill,1920,9289,87,78,6,1435.332,798,654,6299,0.0,1539,58,0.0,540,540,0,47,567,30729,whiteea01,15.3
185,30729,Earl Whitehill,1930,9290,131,107,5,2129.3323,1220,1072,9482,0.0,2378,134,0.0,891,891,0,54,783,30729,whiteea01,21.1
186,30946,Hooks Wiltse,1900,9428,100,57,19,1400.6660000000004,478,357,5545,0.0,1200,32,0.0,352,352,0,32,666,30946,wiltsho01,20.4
187,31052,Wilbur Wood,1970,9499,136,123,22,2150.3333,923,792,8932,8154.0,2087,170,2996.0,570,539,31,50,1138,31052,woodwi01,43.1
188,31098,Clyde Wright,1970,9528,80,85,0,1370.6673,601,522,5743,5192.0,1322,110,1897.0,427,400,27,18,493,31098,wrighcl01,10.999999999999998
189,31225,Tom Zachary,1920,9605,128,122,11,2018.3339999999998,1017,838,8685,0.0,2313,77,0.0,609,609,0,33,426,31225,zachato01,24.999999999999996
190,31711,C.J. Wilson,2010,9812,82,50,0,1149.6660000000004,521,460,4857,3793.0,1020,90,1332.0,474,462,12,55,998,31711,wilsocj01,15.400000000000002
191,38551,Francisco Liriano,2010,10076,88,92,0,1456.3339999999996,732,672,6277,4777.0,1320,143,1814.0,680,666,14,54,1449,38551,liriafr01,13.2
192,45529,Gio Gonzalez,2010,10343,123,88,0,1768.6673,736,686,7471,5940.0,1559,142,2104.0,715,697,18,44,1683,45529,gonzagi01,32.4
193,45534,Cole Hamels,2010,10348,115,87,0,1958.001,778,724,8072,6516.0,1742,214,2491.0,579,555,24,88,1872,45534,hamelco01,46.2
194,45548,Jon Lester,2010,10362,148,92,0,1979.668,862,778,8236,6707.0,1847,207,2622.0,616,610,6,65,1868,45548,lestejo01,31.199999999999996
195,45595,Jason Vargas,2010,10410,90,85,0,1424.3339999999996,686,652,6028,5334.0,1428,183,2234.0,421,402,19,36,1005,45595,vargaja01,17.000000000000004
196,46084,J.A. Happ,2010,10493,108,85,0,1490.332,727,679,6337,5033.0,1424,197,2106.0,533,520,13,31,1347,46084,happja01,17.5
197,49786,Clayton Kershaw,2010,10910,156,61,0,1995.999,566,513,7787,6382.0,1487,155,2042.0,434,414,20,31,2179,49786,kershcl01,59.199999999999996
198,51645,Jose Quintana,2010,11034,83,77,0,1484.999,662,614,6203,4875.0,1460,153,1956.0,419,398,21,37,1298,51645,quintjo01,26.0
199,54694,David Price,2010,11161,140,73,0,1887.3327,743,680,7700,6283.0,1685,189,2363.0,469,457,12,54,1867,54694,priceda01,38.6
200,57743,Madison Bumgarner,2010,11323,119,92,0,1836.0,701,640,7467,6066.0,1614,190,2293.0,425,392,33,62,1784,57743,bumgama01,32.1
201,58453,Wade Miley,2010,11403,85,82,0,1403.6667000000002,703,659,6028,4673.0,1451,157,1958.0,490,480,10,34,1115,58453,mileywa01,10.7
202,60448,Dallas Keuchel,2010,11539,84,71,0,1302.0013,571,531,5424,4104.0,1259,131,1650.0,382,374,8,30,1036,60448,keuchda01,20.600000000000005
203,65751,Chris Sale,2010,11588,109,73,12,1629.6663,590,548,6544,5230.0,1312,172,1824.0,374,360,14,98,2007,65751,salech01,45.39999999999999
