,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
379,28312,Muddy Ruel,1920,19245,1148,4286,3657,1045,435.0,0.0,423,4,1266,476,0.0,0.0,25,0,1115,3,0,0,0,0,0,0,0,0,53,60.0,ruelmu01,28312,19.599999999999998
380,28362,Mike Ryan,1960,11799,458,1572,1447,286,129.0,8.0,108,20,406,106,89.0,17.0,3,0,455,0,0,0,0,0,0,0,0,0,4,4.0,ryanmi02,28362,-1.2000000000000002
381,28384,Mark Salas,1980,11919,402,1163,1071,276,112.0,8.0,122,28,425,68,57.0,11.0,9,0,317,0,0,0,0,3,0,1,4,34,3,3.0,salasma01,28384,2.3999999999999995
382,28430,Manny Sanguillen,1970,19745,1242,4744,4459,1323,518.0,42.0,496,60,1782,204,117.0,87.0,20,0,973,52,0,0,0,2,0,68,70,58,24,31.0,sanguma01,28430,23.999999999999996
383,28444,Bill Sarni,1950,9768,390,1303,1182,311,151.0,14.0,107,22,449,89,51.0,4.0,3,0,374,0,0,0,0,0,0,0,0,0,6,5.0,sarnibi01,28444,2.6999999999999997
384,28445,Tom Satriano,1960,17685,615,1674,1458,326,144.0,8.0,109,18,432,193,169.0,24.0,5,0,270,83,58,168,3,0,0,0,0,0,7,8.0,satrito01,28445,-0.40000000000000013
385,28498,Ray Schalk,1910,15324,931,3299,2830,707,284.0,0.0,297,4,864,317,0.0,0.0,36,0,905,0,0,0,0,0,0,0,0,0,127,42.0,schalra01,28498,21.1
386,28498,Ray Schalk,1920,19245,831,2918,2476,638,310.0,0.0,282,7,811,321,0.0,0.0,23,0,822,0,0,0,0,0,0,0,0,0,50,27.0,schalra01,28498,12.200000000000001
387,28503,Wally Schang,1910,13412,731,2518,2082,568,268.0,0.0,301,17,793,316,0.0,0.0,58,0,474,0,0,60,1,94,26,4,124,0,68,10.0,schanwa01,28503,23.0
388,28503,Wally Schang,1920,19245,1036,3698,3057,908,432.0,0.0,443,41,1293,502,0.0,0.0,48,0,895,0,0,0,0,3,39,1,43,0,52,39.0,schanwa01,28503,25.699999999999996
389,28517,Bob Scheffing,1940,11673,425,1246,1154,308,164.0,0.0,92,16,424,80,0.0,0.0,2,0,321,0,0,0,0,0,0,0,0,0,6,0.0,schefbo01,28517,3.8
390,28547,Admiral Schlei,1900,11439,580,2048,1818,436,201.0,0.0,185,6,544,158,0.0,0.0,20,0,512,30,0,0,0,1,0,1,2,0,34,0.0,schlead01,28547,9.7
391,28557,Boss Schmidt,1900,7630,378,1338,1237,296,99.0,0.0,111,2,362,34,0.0,0.0,14,0,372,0,0,0,0,0,0,1,1,0,21,0.0,schmibo01,28557,6.7
392,28565,Walter Schmidt,1920,11535,440,1576,1454,395,146.0,0.0,137,1,464,76,0.0,0.0,10,0,427,0,0,0,0,0,0,0,0,0,38,16.0,schmiwa01,28565,1.5999999999999999
393,28586,Ossee Schreckengost,1900,15236,769,2725,2592,694,281.0,0.0,242,7,875,81,0.0,0.0,9,0,677,56,0,0,0,0,1,0,1,0,33,0.0,schreos01,28586,11.200000000000001
