,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
413,31262,Heinie Zimmerman,1910,19145,1340,5423,4999,1481,765.0,0.0,655,58,2120,238,0.0,0.0,38,0,0,53,272,940,49,0,4,0,4,0,166,52.0,zimmehe01,31262,33.9
414,31435,Chad Tracy,2000,12039,704,2587,2338,654,318.0,25.0,293,78,1059,205,180.0,25.0,16,0,0,246,0,340,0,7,0,47,54,10,11,5.0,tracych01,31435,5.8
415,31483,Miguel Cabrera,2000,14042,1040,4441,3921,1220,753.0,36.0,630,209,2124,446,356.0,90.0,33,0,0,296,0,387,0,248,0,100,348,17,24,13.0,cabremi01,31483,26.1
416,31514,David Wright,2000,12039,847,3665,3185,983,561.0,38.0,552,140,1651,414,380.0,34.0,28,0,0,0,0,842,0,0,0,0,0,2,119,31.0,wrighda03,31514,29.499999999999996
417,31514,David Wright,2010,16109,738,3206,2813,794,409.0,27.0,397,102,1294,348,309.0,39.0,17,0,0,0,0,730,2,0,0,0,0,1,77,34.0,wrighda03,31514,21.099999999999998
418,31564,Edwin Encarnacion,2000,10035,556,2173,1918,499,286.0,12.0,261,79,860,198,188.0,10.0,45,0,0,2,0,532,0,0,0,0,0,0,20,5.0,encared01,31564,3.9000000000000004
419,31576,Garrett Atkins,2000,14042,773,3121,2788,805,479.0,34.0,394,98,1275,279,267.0,12.0,20,0,0,105,1,642,0,3,0,0,3,5,8,4.0,atkinga01,31576,5.4
420,31645,Jorge Cantu,2000,12039,663,2724,2512,698,404.0,29.0,309,90,1146,153,140.0,13.0,30,0,0,198,218,248,1,0,0,0,0,34,11,4.0,cantujo01,31645,2.3000000000000003
421,31674,Greg Dobbs,2010,10060,492,1267,1171,297,127.0,14.0,98,20,416,71,56.0,15.0,8,0,0,78,0,172,0,24,0,22,46,8,6,4.0,dobbsgr01,31674,-4.200000000000001
422,31678,Jose Lopez,2010,6033,313,1112,1060,250,107.0,7.0,90,22,371,39,37.0,2.0,5,0,0,22,24,231,0,0,0,1,1,24,5,3.0,lopezjo01,31678,0.6
423,31729,Kevin Youkilis,2010,8046,372,1579,1336,348,210.0,12.0,229,57,617,185,176.0,9.0,46,0,0,139,0,247,0,0,0,0,0,6,7,1.0,youklke01,31729,10.700000000000001
424,32570,Jose Bautista,2000,12039,575,2038,1754,418,211.0,16.0,241,59,701,220,211.0,9.0,26,0,0,5,5,309,0,55,71,96,222,9,14,9.0,bautijo02,32570,-0.20000000000000062
425,33433,Alberto Callaspo,2010,12075,785,2885,2581,662,267.0,26.0,279,41,901,266,250.0,16.0,4,0,0,23,94,567,0,1,0,0,1,51,17,10.0,callaal01,33433,6.799999999999999
426,37391,Maicer Izturis,2000,12039,508,1862,1663,463,216.0,15.0,257,24,654,159,151.0,8.0,11,0,0,0,146,195,145,1,1,0,2,11,58,17.0,izturma01,37391,8.600000000000001
427,43583,Mark Teahen,2000,10035,676,2732,2480,667,293.0,9.0,343,59,1038,218,198.0,20.0,15,0,0,34,3,363,0,31,6,261,298,1,42,11.0,teahema01,43583,3.8999999999999995
428,45334,Puddin Head Jones,1950,19545,1419,5783,5016,1298,689.0,34.0,684,166,2066,647,306.0,21.0,21,0,0,1,0,1388,0,0,0,0,0,0,34,17.0,joneswi01,45334,22.1
429,45442,Kevin Kouzmanoff,2000,8030,456,1836,1693,442,257.0,18.0,182,62,736,87,79.0,8.0,36,0,0,0,0,431,0,0,0,0,0,14,2,0.0,kouzmke01,45442,5.2
430,45470,Ryan Roberts,2010,10060,390,1310,1168,278,143.0,9.0,161,38,450,123,119.0,4.0,3,0,0,3,131,203,1,18,0,1,19,2,28,17.0,roberry01,45470,3.7
431,45623,Ryan Zimmerman,2000,10035,602,2625,2363,672,364.0,23.0,350,91,1130,228,208.0,20.0,10,0,0,0,0,590,1,0,0,0,0,2,18,10.0,zimmery01,45623,18.3
432,45623,Ryan Zimmerman,2010,20145,1087,4503,4036,1112,651.0,44.0,586,179,1909,402,379.0,23.0,21,0,0,472,0,543,0,31,0,0,31,13,25,6.0,zimmery01,45623,19.500000000000004
433,46607,Trevor Plouffe,2010,18126,830,3234,2933,710,379.0,23.0,364,106,1203,246,241.0,5.0,25,0,0,47,27,611,55,5,0,27,32,51,12,11.0,plouftr01,46607,8.3
434,46752,Luis Valbuena,2010,18126,890,3119,2731,606,335.0,19.0,319,104,1069,344,327.0,17.0,18,0,0,126,117,605,6,4,0,0,4,10,9,13.0,valbulu01,46752,7.5
435,47736,Chase Headley,2010,18126,1181,4760,4196,1102,494.0,31.0,540,109,1674,480,454.0,26.0,50,0,0,57,1,1083,0,0,0,0,0,17,79,26.0,headlch01,47736,24.700000000000003
436,48220,Casey McGehee,2010,12078,725,2667,2419,610,309.0,26.0,226,51,893,215,203.0,12.0,7,0,0,115,1,548,0,0,0,0,0,9,7,8.0,mcgehca01,48220,0.49999999999999994
437,48318,Eduardo Nunez,2010,20145,856,3006,2811,775,309.0,24.0,353,58,1135,135,129.0,6.0,16,1,0,0,160,301,276,42,0,8,50,59,141,38.0,nunezed02,48318,1.4999999999999996
438,48560,Martin Prado,2010,20145,1200,4993,4594,1303,516.0,45.0,556,86,1861,320,305.0,15.0,25,0,0,52,172,710,14,253,0,8,261,5,36,24.0,pradoma01,48560,24.099999999999998
439,48633,Mark Reynolds,2000,6024,418,1689,1483,381,261.0,14.0,247,89,742,177,170.0,7.0,13,0,0,29,2,384,0,0,0,2,2,0,35,12.0,reynoma01,48633,5.1
440,48901,Pablo Sandoval,2010,20145,1083,4085,3735,1009,508.0,41.0,429,120,1606,282,241.0,41.0,23,2,0,76,3,912,0,0,0,0,0,17,7,8.0,sandopa01,48901,14.5
